"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM",2382.24421096546,"2448.39473362176","64.2323584694071","6.84384639688374e-11","6149.24871738756","0","0.2333","0","0.4547","0.1565","0.0164","0.0796","0.7505",7.62160106711963
"~logD * Diet + logD * logBM + logD2 * logBM + InfraType",2383.56900199733,"2454.40851634233","65.6294128017832","1.08814753589985e-10","5832.56876909228","0","0.2313","0","0.4625","0.1713","0.0161","0.0794","0.7584",8.94639209898969
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      Habitat",2384.05944754412,"2454.89896188912","64.572092752754","1.74737211636861e-10","6071.14260548558","0","0.2332","0","0.4574","0.1595","0.0169","0.0794","0.7524",9.43683764577963
"~logD * Diet + logD * Habitat + logD2 * Habitat + logD * logBM",2384.10821401128,"2454.94772835628","62.3874278637472","4.63643057954806e-10","6130.61369143488","0","0.2439","0","0.4314","0.1077","0.0138","0.0832","0.7194",9.48560411293965
"~logD * Diet + logD * Habitat + logD * logBM",2384.92417957384,"2446.38083086416","56.9212719133417","6.19697206466762e-10","6142.72506494473","0","0.2497","0","0.4211","0.0946","0.0104","0.0784","0.7033",10.3015696754996
"~logD * Diet + logD * logBM + logD2 * logBM + Habitat + InfraType",2385.17665278235,"2460.70026183496","66.1979043094782","2.38993428338985e-10","5603.95328000225","0","0.2312","0","0.4653","0.1747","0.0163","0.0796","0.7602",10.55404288401
"~logD * Diet + logD * Habitat + logD * logBM + logD2",2385.22450814096,"2451.37503079726","58.9274170554415","7.56316029911472e-10","6139.62259160661","0","0.2475","0","0.4239","0.1073","0.0106","0.0796","0.7114",10.6018982426199
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      InfraType",2385.64813778415,"2461.17174683675","65.5785633827099","3.14101062062514e-10","5829.94519532085","0","0.2317","0","0.4626","0.1719","0.016","0.0793","0.7582",11.0255278858099
"~logD * Diet + logD2 * Diet + logD * Habitat + logD2 * Habitat +      logD * logBM",2386.12303391024,"2461.64664296285","62.3928085813634","1.27410614027894e-09","6130.38390654437","0","0.2444","0","0.4311","0.1083","0.0136","0.0831","0.719",11.5004240118997
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      Habitat + InfraType",2387.26240139455,"2467.46519078794","66.1476416234086","6.55156692147275e-10","5602.32284548178","0","0.2316","0","0.4654","0.1753","0.0162","0.0794","0.76",12.6397914962099
"~logD * Diet + logD2 * Diet + logD * Habitat + logD * logBM",2387.28826984439,"2458.12778418939","58.8914380485588","2.19127798710881e-09","6139.59795320367","0","0.2479","0","0.424","0.108","0.0104","0.0795","0.7112",12.6656599460498
"~logD * Diet + logD * logBM",2387.82156472399,"2439.87590305916","49.936446740242","1.42792057631782e-09","6297.18469323066","0","0.249","0","0.4211","0.1032","0.0134","0.0685","0.7052",13.1989548256497
"~logD * Diet + logD * logBM + logD * Habitat + logD2 * Habitat +      InfraType",2388.10989985077,"2468.31268924416","62.7792324409541","2.81225933550316e-09","5601.5503550689","0","0.2424","0","0.4386","0.1195","0.0142","0.082","0.7269",13.4872899524298
"~logD * Diet + logD * Habitat + logD2 * Habitat",2388.21229321768,"2449.66894450801","53.1305310915485","3.49352642528982e-09","6873.37184627407","0","0.2565","0","0.4079","0.0979","0.0124","0.0736","0.6933",13.5896833193397
"~logD * Diet + logD2 + logD * logBM",2388.76677798017,"2445.52469544964","51.3188369371682","2.5558662746062e-09","6291.83759595325","0","0.2471","0","0.4249","0.1155","0.0135","0.0691","0.7129",14.1441680818298
"~logD * Diet + logD * logBM + logD * Habitat + InfraType",2388.97121967394,"2459.81073401894","57.0615281797715","4.91826410085487e-09","5612.47197623314","0","0.2487","0","0.427","0.1034","0.0109","0.0772","0.7095",14.3486097755999
"~logD * Diet + logD * logBM + logD * Habitat + InfraType + logD2",2389.19655241948,"2464.72016147209","59.2646072650383","4.99176462071739e-09","5607.62308202014","0","0.2462","0","0.4308","0.1177","0.0109","0.0786","0.7184",14.57394252114
"~logD * Diet + logD * Habitat + logD2 * Habitat + logBM",2389.25068709864,"2455.40120975494","54.1656763469754","6.41110004429417e-09","6553.51807602374","0","0.2564","0","0.4078","0.0972","0.0124","0.075","0.6935",14.6280772002997
